Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,PNC CDs RT Organic,100000,,Offline,6.0,Fixed,,0.12%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,PNC CDs RT Organic,500000,,Offline,6.0,Fixed,,0.13999999999999999%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,PNC CDs RT Organic,1,,Offline,12.0,Fixed,,0.04%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,PNC CDs RT Organic,1000,,Offline,12.0,Fixed,,0.15%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,PNC CDs RT Organic,10000,,Offline,12.0,Fixed,,0.18%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,PNC CDs RT Organic,25000,,Offline,12.0,Fixed,,0.2%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,PNC CDs RT Organic,100000,,Offline,12.0,Fixed,,0.22%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,PNC CDs RT Organic,500000,,Offline,12.0,Fixed,,0.24%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,PNC CDs RT Organic,1,,Offline,36.0,Fixed,,0.04%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,PNC CDs RT Organic,1000,,Offline,36.0,Fixed,,0.3%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,PNC CDs RT Organic,10000,,Offline,36.0,Fixed,,0.35000000000000003%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,PNC CDs RT Organic,25000,,Offline,36.0,Fixed,,0.4%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,PNC CDs RT Organic,100000,,Offline,36.0,Fixed,,0.44999999999999996%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,PNC CDs RT Organic,500000,,Offline,36.0,Fixed,,0.5%,mybanktracker.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,6MCDF,Chase CDs RT Organic,1000,,Offline,6.0,Fixed,,0.01%,mybanktracker.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,12MCDF,Chase CDs RT Organic,1000,,Offline,12.0,Fixed,,0.01%,mybanktracker.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,6MCDF,6 Month CD,2000,,Online,6.0,Fixed,,0.41000000000000003%,mybanktracker.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,6MCDF,6 Month CD,25000,,Online,6.0,Fixed,,0.41000000000000003%,mybanktracker.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,6MCDF,6 Month CD,100000,,Online,6.0,Fixed,,0.41000000000000003%,mybanktracker.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,12MCDF,12 Month CD for RT,2000,,Online,12.0,Fixed,,2.45%,mybanktracker.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,36MCDF,36 Month CD for RT,2000,,Online,36.0,Fixed,,2.7%,mybanktracker.com
